state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
gujarat,amreli,damnagar,bhindi(ladies finger),bhindi,faq,2023-07-27,4100.0,4500.0,4350.0
gujarat,amreli,damnagar,brinjal,other,faq,2023-07-27,2200.0,3000.0,2450.0
gujarat,amreli,damnagar,cabbage,cabbage,faq,2023-07-27,2350.0,3000.0,2700.0
gujarat,amreli,damnagar,cauliflower,cauliflower,faq,2023-07-27,7000.0,7500.0,7250.0
gujarat,amreli,damnagar,coriander(leaves),coriander,faq,2023-07-27,8400.0,9000.0,8850.0
gujarat,amreli,damnagar,ginger(green),green ginger,faq,2023-07-27,11000.0,14000.0,12500.0
gujarat,amreli,damnagar,green chilli,green chilly,faq,2023-07-27,7200.0,8000.0,7550.0
gujarat,amreli,damnagar,guar,gwar,faq,2023-07-27,6800.0,7500.0,7350.0
gujarat,amreli,damnagar,lemon,lemon,faq,2023-07-27,1850.0,2550.0,2200.0
gujarat,amreli,damnagar,tomato,local,faq,2023-07-27,9800.0,10000.0,9950.0
haryana,gurgaon,gurgaon,apple,other,large,2023-07-27,10000.0,20000.0,15000.0
himachal pradesh,kangra,palampur,apple,apple,medium,2023-07-27,20000.0,21000.0,20500.0
himachal pradesh,kangra,palampur,apple,kullu royal delicious,medium,2023-07-27,8000.0,13000.0,10500.0
himachal pradesh,kangra,palampur,banana,banana - ripe,medium,2023-07-27,3500.0,4000.0,3750.0
himachal pradesh,kangra,palampur,beetroot,beetroot,faq,2023-07-27,3500.0,4000.0,3750.0
himachal pradesh,kangra,palampur,bhindi(ladies finger),other,faq,2023-07-27,3800.0,4000.0,3900.0
himachal pradesh,kangra,palampur,bitter gourd,other,faq,2023-07-27,3500.0,4000.0,3750.0
himachal pradesh,kangra,palampur,bottle gourd,bottle gourd,faq,2023-07-27,2800.0,3800.0,3300.0
himachal pradesh,kangra,palampur,brinjal,brinjal,faq,2023-07-27,5000.0,5200.0,5100.0
himachal pradesh,kangra,palampur,cabbage,cabbage,faq,2023-07-27,2200.0,2500.0,2350.0
himachal pradesh,kangra,palampur,capsicum,capsicum,faq,2023-07-27,11000.0,12000.0,11500.0
himachal pradesh,kangra,palampur,carrot,carrot,faq,2023-07-27,3000.0,3500.0,3250.0
himachal pradesh,kangra,palampur,cauliflower,cauliflower,faq,2023-07-27,4500.0,7000.0,4750.0
